Trade Id,Exchange,Exchange Trade ID,Client Account ID,Product Code,Date,Opening/Closing,Buy/Sell,Qty,Trade Price,Premium(paid or held),Contract ID,Contract Size,Contract Value,Premium Value,Premium Deadline,Product Type,Option Type,Broker Account,Strike Price,Currency,Last Action
20220330000000AE,IFLX,20220330000000AE,PAMHSE1,IEC,20220330,0,Buy,57.0,2078.0,Undef,HT58_F_F_20221200,10.0,-1184460.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,Book
202203300000012Y,OCC,202203300000012Y,PAMCACC3,1EEM,20220330,0,Buy,1.0,15.0,Paid,VH90_O_C_20220520_0_158.0,100.0,0.0,-1500.0,20220330,Option,Call,PAMBRO1,158.0,USD,Book
20220330000001NO,EURX,20220330000001NO,PAMCACC5,MIDC1,20220330,0,Buy,13.0,1.3,Held,9911_O_C_20231215_0_99.0,1000000.0,-169000.0,-169000.0,20220330,Option,Call,PAMBRO1,99.0,EUR,Book
202203300000004T,OMS,202203300000004T,PAMCACC3,STIB,20220330,0,Buy,25.0,0.17,Undef,3015_F_F_20220900,1000000.0,-10743.06,0.0,19000101,Future,Undef,PAMBRO1,0.0,SEK,Book
20220330000001QQ,SFE,20220330000001QQ,PAMCACC4,SFHV,20220330,0,Buy,56.0,0.01,Held,ND70_O_C_20231200_0_31.0,24.0,-13.44,-13.44,20220330,Option,Call,PAMBRO1,31.0,AUD,Book
2022121400000001,IFED,2022121400000001,PAMCACC3,IGDO,20220330,0,Buy,18.0,15.0,Undef,HW17_F_F_20221200,349860.0,-944622.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
2022033000000188,EEX,2022033000000188,PAMCACC3,F1BY,20220330,0,Sell,157.0,181.0,Undef,R193_F_F_20230100,8760.0,248932920.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,Book
20220330000001J6,SFE,20220330000001J6,PAMCACC3,ASPI,20220330,0,Buy,57.0,1000.0,Held,U176_O_C_20230300_0_6300.0,25.0,-1425000.0,-1425000.0,20220330,Option,Call,PAMBRO1,6300.0,AUD,Book
2022033000000010,EURX,2022033000000010,PAMCACC2,CONF,20220330,0,Buy,100.0,150.0,Undef,7050_F_F_20220600,100000.0,-15000000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,CHF,Book
20220330000000X6,INE,20220330000000X6,PAMCACC3,INSC,20220330,0,Buy,57.0,540.0,Undef,0I53_F_F_20230300,1000.0,-30780000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,CNY,Book
202203300000004Z,OMS,202203300000004Z,PAMCACC3,STIB,20220330,0,Buy,25.0,0.8,Undef,3015_F_F_20220900,1000000.0,-50555.56,0.0,19000101,Future,Undef,PAMBRO1,0.0,SEK,Book
202203300000004Y,OMS,202203300000004Y,PAMCACC3,STIB,20220330,0,Buy,25.0,0.19,Undef,3015_F_F_20220900,1000000.0,-12006.94,0.0,19000101,Future,Undef,PAMBRO1,0.0,SEK,Book
20220330000001D8,LME,20220330000001D8,PAMCACC2,AAD,20220330,0,Sell,43.0,2700.0,Undef,0039_F_F_20220411,20.0,2322000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
202203300000007Z,SEHK,202203300000007Z,PAMCACC3,SPEC,20220330,0,Buy,1500.0,0.01,Paid,S402_O_C_20221200_0_3.2,2000.0,0.0,-30000.0,20220330,Option,Call,PAMBRO1,3.2,HKD,Book
20220330000001EN,SFE,20220330000001EN,PAMCACC4,SFBV,20220330,0,Buy,1.0,31.0,Undef,R155_F_F_20241200,24.0,-744.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,AUD,Book
20220330000001KG,BMF,20220330000001KG,PAMCACC3,BDAP,20220330,0,Buy,57.0,99700.0,Undef,2Z37_F_F_20230400,0.00025,-9359679.3,0.0,19000101,Future,Undef,PAMBRO1,0.0,BRL,Book
20220330000001EL,SFE,20220330000001EL,PAMCACC4,SFBV,20220330,0,Buy,1.0,31.0,Undef,R155_F_F_20240600,24.0,-744.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,AUD,Book
20220330000001NT,EURX,20220330000001NT,PAMCACC5,MIDC1,20220330,0,Buy,12.0,2.0,Held,9911_O_C_20241220_0_99.0,1000000.0,-240000.0,-240000.0,20220330,Option,Call,PAMBRO1,99.0,EUR,Book
202203300000010B,SFE,202203300000010B,PAMCACC3,SBB1,20220330,0,Buy,23.0,97.0,Undef,3665_F_F_20220900,1000000.0,-22831112.38,0.0,19000101,Future,Undef,PAMBRO1,0.0,AUD,Book
202203300000004V,OMS,202203300000004V,PAMCACC3,STIB,20220330,0,Buy,25.0,0.855,Undef,3015_F_F_20220900,1000000.0,-54031.25,0.0,19000101,Future,Undef,PAMBRO1,0.0,SEK,Book
20220330000000R2,IFED,20220330000000R2,PAMCACC3,IRBR,20220330,0,Sell,9.0,15.0,Undef,VJ32_F_F_20221200,1000.0,135000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
2022033000000050,OMS,2022033000000050,PAMCACC3,STIB,20220330,0,Buy,25.0,0.95,Undef,3015_F_F_20220900,1000000.0,-60034.72,0.0,19000101,Future,Undef,PAMBRO1,0.0,SEK,Book
202203300000011E,NZFE,202203300000011E,PAMCACC4,NZAB,20220330,0,Buy,100.0,98.0,Undef,3820_F_F_20220600,1000000.0,-99509269.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,NZD,Book
202203300000004D,LME,202203300000004D,PAMCACC3,1AHD,20220330,0,Buy,50.0,0.0,Undef,9989_F_F_20220413,1.0,0.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
20220330000000VP,IFEU,20220330000000VP,PAMCACC3,IDUK,20220330,0,Buy,150.0,15.0,Undef,5D57_F_F_20220401,1000.0,-2250000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,GBP,Book
202203300000004W,OMS,202203300000004W,PAMCACC3,STIB,20220330,0,Buy,25.0,0.685,Undef,3015_F_F_20220900,1000000.0,-43288.19,0.0,19000101,Future,Undef,PAMBRO1,0.0,SEK,Book
202203300000004X,OMS,202203300000004X,PAMCACC3,STIB,20220330,0,Buy,25.0,0.18,Undef,3015_F_F_20220900,1000000.0,-11375.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,SEK,Book
20220330000000VQ,IFEU,20220330000000VQ,PAMCACC3,IDUK,20220330,0,Sell,37.0,21.0,Undef,5D57_F_F_20220401,1000.0,777000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,GBP,Book
20220330000001EK,SFE,20220330000001EK,PAMCACC4,SFBV,20220330,0,Buy,1.0,31.0,Undef,R155_F_F_20240300,24.0,-744.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,AUD,Book
20220330000001EM,SFE,20220330000001EM,PAMCACC4,SFBV,20220330,0,Buy,1.0,31.0,Undef,R155_F_F_20240900,24.0,-744.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,AUD,Book
202203300000003S,LME,202203300000003S,PAMCACC3,1AAD,20220330,0,Buy,53.6,0.04,Paid,9991_O_C_20220420_0_1175.5,1.0,0.0,-2.14,20220330,Option,Call,PAMBRO1,1175.5,USD,Book
20220330000001NQ,EURX,20220330000001NQ,PAMCACC5,MIDC1,20220330,0,Buy,42.0,1.4,Held,9911_O_C_20240920_0_99.0,1000000.0,-588000.0,-588000.0,20220330,Option,Call,PAMBRO1,99.0,EUR,Book
2022033000000040,LME,2022033000000040,PAMCACC2,1CAD,20220330,0,Buy,267.8,0.5,Paid,9993_O_P_20220420_0_3500.51,1.0,0.0,-133.9,20220330,Option,Put,PAMBRO1,3500.51,USD,Book
202203300000002G,EURX,202203300000002G,PAMCACC2,FGBM,20220330,0,Buy,37.0,135.0,Undef,3775_F_F_20220600,100000.0,-4995000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,Book
20220330000000RM,CBT,20220330000000RM,PAMCACC3,TN1,20220330,0,Buy,15.0,0.7144184375,Paid,2355_O_C_20221200_0_117.0,100000.0,0.0,-10716.3,20220330,Option,Call,PAMBRO1,117.0,USD,Book
2022030100000004,EURX,2022030100000004,PAMCACC5,MIDC1,20220301,0,Buy,15.0,0.9,Held,9911_O_C_20250321_0_99.0,1000000.0,-135000.0,-135000.0,20220301,Option,Call,PAMBRO1,99.0,EUR,Book
20220330000001NS,EURX,20220330000001NS,PAMCACC5,MIDC1,20220330,0,Buy,45.0,1.2,Held,9911_O_C_20240621_0_99.0,1000000.0,-540000.0,-540000.0,20220330,Option,Call,PAMBRO1,99.0,EUR,Book
20220330000001DP,HKFE,20220330000001DP,PAMCACC2,HSI,20220330,0,Buy,57.0,0.01,Held,4020_O_P_20221200_0_17000.0,50.0,-28.5,-28.5,20220330,Option,Put,PAMBRO1,17000.0,HKD,Book
202203290000000D,IFEU,202203290000000D,PAMCACC2,LCO,20220329,0,Buy,12.0,160.0,Undef,0952_F_F_20220300,1000.0,-1920000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
2022033000000083,CBT,2022033000000083,PAMCACC2,CTN,20220330,0,Buy,55.0,131.0,Undef,2356_F_F_20220300,100000.0,-7205000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
2022033000000111,OSE,2022033000000111,PAMCACC4,JPXO,20220330,0,Sell,99.0,0.01,Paid,1B55_O_C_20230600_0_10000.0,1000.0,0.0,990.0,20220330,Option,Call,PAMBRO1,10000.0,JPY,Book
2022033000000045,LME,2022033000000045,PAMCACC3,DCA,20220330,0,Buy,19.0,0.02,Paid,8771_O_C_20220720_0_8900.0,25.0,0.0,-9.5,20220330,Option,Call,PAMBRO1,8900.0,USD,Book
2022033000000048,LME,2022033000000048,PAMCACC3,1AHD,20220330,0,Buy,157.0,0.5,Undef,9989_F_F_20220413,1.0,-78.5,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
20220330000001QS,EURX,20220330000001QS,WNTFRC3,FGBL,20220330,0,Buy,100.0,156.0,Undef,3774_F_F_20231200,1.0,-156.0,0.0,19000101,Future,Undef,WNTFRB4,0.0,EUR,Book
2022033000000118,CME,2022033000000118,WNCLT21,ED1,20220330,0,Buy,3.0,98.03,Undef,2700_F_F_20220400,1000000.0,-2985225.0,0.0,19000101,Future,Undef,WNBRK21,0.0,USD,Book
20220330000001QR,CBT,20220330000001QR,PAMCACC2,TN1,20220330,0,Buy,7.0,7.0,Paid,2355_O_C_20220500_0_96.5,100000.0,0.0,-49.0,20220330,Option,Call,PAMBRO1,96.5,USD,Insert
20220330000001E4,SFE,20220330000001E4,PAMCACC4,SFHV,20220330,0,Buy,56.0,0.01,Held,ND70_O_C_20231200_0_31.0,24.0,-13.44,-13.44,20220330,Option,Call,PAMBRO1,31.0,AUD,Unbook
20220330000001K9,IFUS,20220330000001K9,PAMCACC3,NSU,20220330,0,Sell,350.0,29.0,Undef,2055_F_F_20221000,112000.0,11368000.0,0.0,19000101,Future,Undef,PAMBRO2,0.0,USD,Book
20220330000001NR,EURX,20220330000001NR,PAMCACC5,MIDC1,20220301,0,Buy,57.0,1.0,Held,9911_O_C_20240315_0_99.0,1000000.0,-570000.0,-570000.0,20220301,Option,Call,PAMBRO2,99.0,EUR,Book
20220330000000P7,EEX,20220330000000P7,PAMCACC3,F1BY,20220330,0,Sell,157.0,180.0,Undef,R193_F_F_20230100,8760.0,247557600.0,0.0,19000101,Future,Undef,PAMBRO2,0.0,EUR,Book
20220330000001QN,CME,20220330000001QN,BH0001,ED1,20220330,0,Buy,0.0,99.0,Undef,2700_F_F_20220800,1000000.0,0.0,0.0,19000101,Future,Undef,BHBR01,0.0,USD,P+S
20220330000001QO,CME,20220330000001QO,BH0001,ED1,20220330,0,Sell,10.0,97.0,Undef,2700_F_F_20220800,1000000.0,9925000.0,0.0,19000101,Future,Undef,BHBR01,0.0,USD,P+S
20220330000000U2,CME,20220330000000U2,PATXX2,ED1,20220330,0,Buy,1000.0,99.03,Undef,2700_F_F_20231200,1000000.0,-997575000.0,0.0,19000101,Future,Undef,PATBRK,0.0,USD,Charges
20220330000001QE,EURX,20220330000001QE,CLIENT1,FGBL,20220330,0,Sell,100.0,143.0,Undef,3774_F_F_20220900,100000.0,14300000.0,0.0,19000101,Future,Undef,LMEOSA,0.0,EUR,Exercise
20220330000001QD,EURX,20220330000001QD,CLIENT1,FGBL,20220330,0,Buy,100.0,143.0,Undef,3774_F_F_20220600,100000.0,-14300000.0,0.0,19000101,Future,Undef,LMEOSA,0.0,EUR,Exercise
20220330000001QC,EURX,20220330000001QC,CLIENT1,FGBL,20220330,0,Buy,0.0,1.0,Held,3774_O_C_20220500_0_143.0,100000.0,0.0,0.0,20220330,Option,Call,LMEOSA,143.0,EUR,Exercise
20220330000001CX,CME,20220330000001CX,CLIENT1,ED1,20220330,0,Buy,0.0,5.0,Paid,2700_O_C_20240600_0_91.5,1000000.0,0.0,0.0,20220330,Option,Call,BROKER,91.5,USD,Abandoned
20220330000000I3,PNEX,20220330000000I3,PAMCACC1,G0BM,20220330,0,Buy,150.0,130.0,Undef,OL07_F_F_20220400,720.0,-14040000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,ReverseDelivery
202203300000010Q,PNEX,202203300000010Q,PAMCACC1,G0BM,20220330,0,Buy,150.0,119.5,Undef,OL07_F_F_20220400,696.0,-12906000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,ReverseDelivery
20220330000001QB,NYME,20220330000001QB,PAMCACC1,NYKD,20220330,0,Buy,43.0,0.02,Paid,NT73_O_C_20231213_0_2.7,10000.0,0.0,-8600.0,20220330,Option,Call,PAMBRO1,2.7,USD,Insert
20220330000001PI,NYME,20220330000001PI,PAMCACC1,NYKD,20220330,0,Buy,100.0,0.01,Paid,NT73_O_C_20231213_0_2.7,10000.0,0.0,-10000.0,20220330,Option,Call,PAMBRO1,2.7,USD,Amend
20220330000001Q6,NYME,20220330000001Q6,PAMCACC1,NYKD,20220330,0,Buy,56.0,0.01,Paid,NT73_O_C_20231213_0_2.5,10000.0,0.0,-5600.0,20220330,Option,Call,PAMBRO1,2.5,USD,Book
20220330000001Q7,NYME,20220330000001Q7,PAMCACC1,NYKD,20220330,0,Buy,23.0,0.01,Paid,NT73_O_P_20231213_0_5.5,10000.0,0.0,-2300.0,20220330,Option,Put,PAMBRO1,5.5,USD,Book
20220330000001Q8,NYME,20220330000001Q8,PAMCACC1,NYKD,20220330,0,Buy,14.0,0.01,Paid,NT73_O_P_20231213_0_5.5,10000.0,0.0,-1400.0,20220330,Option,Put,PAMBRO1,5.5,USD,Book
20220330000001QA,NYME,20220330000001QA,PAMCACC1,NYKD,20220330,0,Buy,46.0,0.01,Paid,NT73_O_C_20231213_0_2.8,10000.0,0.0,-4600.0,20220330,Option,Call,PAMBRO1,2.8,USD,Book
20220330000001Q9,NYME,20220330000001Q9,PAMCACC1,NYKD,20220330,0,Buy,49.0,0.01,Paid,NT73_O_C_20231213_0_2.4,10000.0,0.0,-4900.0,20220330,Option,Call,PAMBRO1,2.4,USD,Book
20220330000001Q5,IFLL,20220330000001Q5,PAMCACC1,IK5,20220330,0,Buy,57.0,1.5697,Held,HO81_O_C_20220600_0_97.875,1000000.0,-223682.25,-223682.25,20220330,Option,Call,PAMBRO1,97.875,EUR,Insert
20220330000001Q4,CBT,20220330000001Q4,PAMCACC1,CBO,20220330,0,Buy,57.0,94.515625,Undef,2450_F_F_20230300,100000.0,-5387390.91,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Insert
20220330000001Q3,ABXX,20220330000001Q3,PAMCACC1,RD1,20220330,0,Sell,157.0,150.0,Undef,6W38_F_F_20240900,100.0,2355000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
20220330000001Q2,ABXX,20220330000001Q2,PAMCACC1,NWE,20220330,0,Buy,475.0,150.0,Undef,6W37_F_F_20240600,10000.0,-712500000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
20220330000001Q1,ABXX,20220330000001Q1,PAMCACC1,NPLN,20220330,0,Sell,1421.0,150.0,Undef,6W36_F_F_20240300,10000.0,2131500000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Book
20220330000001Q0,ABXX,20220330000001Q0,PAMCACC1,GOMA,20220330,0,Buy,501.0,150.0,Undef,6W35_F_F_20240200,10000.0,-751500000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Insert
20220330000001PZ,OCC,20220330000001PZ,BH0001,PSXP,20220330,0,Sell,10.0,123.0,Paid,1C40_O_C_20220330_0_111.0,100.0,0.0,123000.0,20220330,Option,Call,BHBR01,111.0,USD,Insert
2024010200000001,OCC,2024010200000001,BH0002,PSXP,20220330,0,Buy,300.0,123.0,Paid,1C40_O_C_20220330_0_111.0,100.0,0.0,-3690000.0,20220330,Option,Call,BHBR01,111.0,USD,Book
